Wavelength	PL390-MAO-Cr-Mau8
nm	Counts
659.111	2429
659.236	2445
659.36	2462
659.485	2500
659.61	2541
659.734	2533
659.859	2534
659.984	2607
660.108	2584
660.233	2640
660.358	2695
660.482	2686
660.607	2700
660.732	2780
660.856	2750
660.981	2850
661.106	2862
661.23	2884
661.355	2892
661.48	2966
661.604	2925
661.729	2961
661.853	2972
661.978	3032
662.103	3044
662.227	3115
662.352	3076
662.476	3162
662.601	3114
662.725	3189
662.85	3203
662.974	3192
663.099	3193
663.224	3244
663.348	3229
663.473	3292
663.597	3308
663.722	3333
663.846	3439
663.971	3331
664.095	3406
664.219	3375
664.344	3384
664.468	3396
664.593	3504
664.717	3537
664.842	3506
664.966	3508
665.091	3555
665.215	3581
665.339	3673
665.464	3543
665.588	3622
665.713	3668
665.837	3733
665.961	3675
666.086	3700
666.21	3726
666.335	3742
666.459	3754
666.583	3787
666.708	3759
666.832	3805
666.956	3823
667.081	3843
667.205	3835
667.329	3846
667.454	3848
667.578	3864
667.702	3918
667.826	3898
667.951	3865
668.075	3899
668.199	3921
668.324	3867
668.448	3921
668.572	3977
668.696	3939
668.82	3967
668.945	3953
669.069	3970
669.193	3964
669.317	3984
669.442	4007
669.566	3956
669.69	3999
669.814	4056
669.938	4078
670.062	4092
670.187	4074
670.311	4170
670.435	4218
670.559	4283
670.683	4307
670.807	4405
670.931	4356
671.056	4441
671.18	4543
671.304	4626
671.428	4642
671.552	4671
671.676	4791
671.8	4840
671.924	4856
672.048	4902
672.172	4929
672.296	4988
672.42	5078
672.544	5106
672.669	5181
672.793	5153
672.917	5264
673.041	5381
673.165	5449
673.289	5400
673.413	5649
673.537	5595
673.661	5587
673.785	5774
673.908	5809
674.032	5906
674.156	5994
674.28	6014
674.404	6084
674.528	6128
674.652	6247
674.776	6342
674.9	6260
675.024	6357
675.148	6373
675.272	6444
675.396	6587
675.519	6389
675.643	6553
675.767	6516
675.891	6505
676.015	6502
676.139	6512
676.263	6508
676.386	6509
676.51	6480
676.634	6513
676.758	6398
676.882	6404
677.005	6348
677.129	6375
677.253	6302
677.377	6252
677.501	6150
677.624	6156
677.748	6102
677.872	5966
677.996	6100
678.119	6034
678.243	5867
678.367	5905
678.491	5824
678.614	5771
678.738	5718
678.862	5677
678.985	5637
679.109	5629
679.233	5575
679.356	5476
679.48	5442
679.604	5422
679.727	5384
679.851	5299
679.975	5266
680.098	5212
680.222	5136
680.346	5185
680.469	5102
680.593	5025
680.716	5034
680.84	5043
680.963	5016
681.087	4971
681.211	4983
681.334	4932
681.458	4904
681.581	4847
681.705	4879
681.828	4807
681.952	4922
682.075	4816
682.199	4781
682.322	4889
682.446	4893
682.569	4902
682.693	4907
682.816	4967
682.94	5096
683.063	5191
683.187	5207
683.31	5372
683.434	5561
683.557	5760
683.681	6031
683.804	6538
683.928	7035
684.051	7512
684.174	8000
684.298	8869
684.421	9564
684.545	10531
684.668	11466
684.791	12463
684.915	13422
685.038	14365
685.161	15166
685.285	16213
685.408	16943
685.531	17763
685.655	18338
685.778	18987
685.901	19802
686.025	20361
686.148	20849
686.271	21782
686.395	22185
686.518	22771
686.641	23246
686.764	23977
686.888	24391
687.011	24818
687.134	25234
687.257	25553
687.381	25973
687.504	25966
687.627	26336
687.75	26137
687.873	26220
687.997	26343
688.12	26347
688.243	26259
688.366	26077
688.489	26011
688.613	25618
688.736	25559
688.859	25177
688.982	24980
689.105	24652
689.228	24061
689.351	23625
689.475	23386
689.598	22848
689.721	22493
689.844	22266
689.967	21730
690.09	21099
690.213	20737
690.336	20359
690.459	19804
690.582	19383
690.705	18918
690.828	18540
690.951	18276
691.074	17841
691.197	17489
691.32	17104
691.443	16916
691.566	16609
691.689	16503
691.812	16352
691.935	16109
692.058	16126
692.181	16112
692.304	15811
692.427	15819
692.55	15772
692.673	15718
692.796	15748
692.919	15563
693.042	15372
693.165	15373
693.288	15163
693.411	15240
693.533	15229
693.656	15289
693.779	15148
693.902	15072
694.025	15065
694.148	14834
694.271	14639
694.393	14494
694.516	14423
694.639	14357
694.762	14196
694.885	14167
695.008	13933
695.13	13853
695.253	13963
695.376	13809
695.499	13663
695.622	13819
695.744	13691
695.867	13598
695.99	13691
696.113	13657
696.235	13605
696.358	13591
696.481	13557
696.603	13434
696.726	13489
696.849	13613
696.972	13761
697.094	13845
697.217	13694
697.34	13806
697.462	13860
697.585	13782
697.708	13696
697.83	13878
697.953	13815
698.075	13749
698.198	13516
